Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90
155,Love Arrhov,se SWE,MF,MF,Frankfurt,de Bundesliga,17,2008,5,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
156,Kervin Arriaga,hn HON,MF,MF,Levante,es La Liga,27,1998,27,16,1532,17,3,3,6,3,0,0,8,1,0.18,0.18,0.35,0.18,0.35
157,Kepa Arrizabalaga,es ESP,GK,GK,Arsenal,eng Premier League,30,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Arthur,br BRA,MF,MF,Leverkusen,de Bundesliga,22,2003,20,13,1136,12.6,1,3,4,1,0,0,3,0,0.08,0.24,0.32,0.08,0.32
159,Takuma Asano,jp JPN,MFFW,MF,Mallorca,es La Liga,30,1994,20,8,664,7.4,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14
160,Raúl Asencio,es ESP,DF,DF,Real Madrid,es La Liga,22,2003,23,18,1708,19,2,0,2,2,0,0,4,0,0.11,0,0.11,0.11,0.11
161,Fisnik Asllani,xk KVX,FWMF,FW,Hoffenheim,de Bundesliga,22,2002,33,31,2335,25.9,10,7,17,10,0,0,2,0,0.39,0.27,0.66,0.39,0.66
162,Kristjan Asllani,al ALB,MF,MF,Torino,it Serie A,23,2002,15,13,1129,12.5,0,0,0,0,0,1,3,0,0,0,0,0,0
163,Joel Asoro,se SWE,FW,FW,Metz,fr Ligue 1,26,1999,8,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Iago Aspas,es ESP,FWMF,FW,Celta Vigo,es La Liga,37,1987,32,11,1140,12.7,5,3,8,3,2,2,4,0,0.39,0.24,0.63,0.24,0.47
165,Yaser Asprilla,co COL,FWMF,FW,Girona,es La Liga,21,2003,15,6,611,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Lorenz Assignon,tg TOG,DFMF,DF,Stuttgart,de Bundesliga,25,2000,24,12,1094,12.2,0,0,0,0,0,0,3,1,0,0,0,0,0
167,Dehmaine Assoumani,fr FRA,MF,MF,Nantes,fr Ligue 1,20,2005,27,14,1276,14.2,1,0,1,1,0,0,5,0,0.07,0,0.07,0.07,0.07
168,Lander Astiazaran,es ESP,MF,MF,Real Sociedad,es La Liga,19,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Otavio Ataide,br BRA,DF,DF,Paris FC,fr Ligue 1,23,2002,23,21,1901,21.1,1,0,1,1,0,0,6,1,0.05,0,0.05,0.05,0.05
170,Zachary Athekame,ch SUI,MFDF,MF,Milan,it Serie A,20,2004,27,7,833,9.3,2,2,4,2,0,0,3,0,0.22,0.22,0.43,0.22,0.43
171,Arthur Atta,fr FRA,MF,MF,Udinese,it Serie A,22,2003,32,29,2557,28.4,5,3,8,5,0,0,3,0,0.18,0.11,0.28,0.18,0.28
172,Noah Atubolu,de GER,GK,GK,Freiburg,de Bundesliga,23,2002,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0
173,Pierre-Emerick Aubameyang,ga GAB,FW,FW,Marseille,fr Ligue 1,36,1989,30,23,2039,22.7,10,5,15,10,0,0,1,0,0.44,0.22,0.66,0.44,0.66
174,Emil Audero,id IDN,GK,GK,Cremonese,it Serie A,28,1997,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Carlos Augusto,br BRA,MFDF,MF,Inter,it Serie A,26,1999,34,18,1763,19.6,1,1,2,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1
176,Yann Aurel Bisseck,de GER,DF,DF,Inter,it Serie A,24,2000,23,21,1922,21.4,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19
177,Leon Avdullahu,xk KVX,MF,MF,Hoffenheim,de Bundesliga,21,2004,33,32,2834,31.5,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03
178,Ezequiel Ávila,ar ARG,FW,FW,Real Betis,es La Liga,31,1994,16,3,380,4.2,1,0,1,0,1,1,3,0,0.24,0,0.24,0,0
179,Arthur Avom,cm CMR,MF,MF,Lorient,fr Ligue 1,20,2004,31,22,2119,23.5,2,1,3,2,0,0,3,0,0.08,0.04,0.13,0.08,0.13
180,Chidozie Awaziem,ng NGA,DF,DF,Nantes,fr Ligue 1,28,1997,26,25,2231,24.8,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12
181,Taiwo Awoniyi,ng NGA,FW,FW,Nottingham,eng Premier League,27,1997,17,3,494,5.5,4,1,5,4,0,0,2,0,0.73,0.18,0.91,0.73,0.91
182,Yasin Ayari,se SWE,MF,MF,Brighton,eng Premier League,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28
183,Neil El Aynaoui,ma MAR,MF,MF,Roma,it Serie A,24,2001,25,8,999,11.1,1,2,3,1,0,0,5,0,0.09,0.18,0.27,0.09,0.27
184,Ilyas Azizi,fr FRA,FW,FW,Toulouse,fr Ligue 1,17,2008,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
185,César Azpilicueta,es ESP,DF,DF,Sevilla,es La Liga,35,1989,17,17,1213,13.5,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07
186,Oussama El Azzouzi,ma MAR,MFDF,MF,Auxerre,fr Ligue 1,24,2001,11,10,807,9,1,0,1,1,0,0,1,1,0.11,0,0.11,0.11,0.11
187,Mio Backhaus,de GER,GK,GK,Werder Bremen,de Bundesliga,21,2004,32,32,2880,32,0,0,0,0,0,0,1,0,0,0,0,0,0
188,Loïc Bade,fr FRA,DF,DF,Leverkusen,de Bundesliga,25,2000,23,19,1653,18.4,0,0,0,0,0,0,4,0,0,0,0,0,0
189,Benoît Badiashile,fr FRA,DF,DF,Chelsea,eng Premier League,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0
190,Álex Baena,es ESP,MFFW,MF,Atlético Madrid,es La Liga,24,2001,27,21,1560,17.3,2,3,5,2,0,0,5,0,0.12,0.17,0.29,0.12,0.29
191,Samson Baidoo,at AUT,DF,DF,Lens,fr Ligue 1,21,2004,23,20,1827,20.3,2,1,3,2,0,0,2,0,0.1,0.05,0.15,0.1,0.15
192,Leon Bailey,jm JAM,MF,MF,Aston Villa,eng Premier League,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0,0.2,0.2,0,0.2
193,Leon Bailey,jm JAM,FW,FW,Roma,it Serie A,27,1997,7,1,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Eric Bailly,ci CIV,DF,DF,Oviedo,es La Liga,31,1994,15,15,1234,13.7,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07
195,Theo Bair,ca CAN,FW,FW,Auxerre,fr Ligue 1,25,1999,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Cédric Bakambu,cd COD,FW,FW,Real Betis,es La Liga,34,1991,18,5,569,6.3,3,1,4,3,0,0,1,0,0.47,0.16,0.63,0.47,0.63
197,Johan Bakayoko,be BEL,FWMF,FW,RB Leipzig,de Bundesliga,22,2003,20,8,777,8.6,2,0,2,2,0,0,1,0,0.23,0,0.23,0.23,0.23
198,Mitchel Bakker,nl NED,DFMF,DF,Atalanta,it Serie A,25,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Darryl Bakola,fr FRA,MF,MF,Marseille,fr Ligue 1,17,2007,8,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Darryl Bakola,fr FRA,MF,MF,Sassuolo,it Serie A,17,2007,6,1,128,1.4,0,1,1,0,0,0,0,0,0,0.7,0.7,0,0.7
201,Ridle Baku,de GER,DF,DF,RB Leipzig,de Bundesliga,27,1998,32,28,2504,27.8,2,3,5,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18
202,Dilane Bakwa,fr FRA,FWMF,FW,Strasbourg,fr Ligue 1,22,2002,3,0,107,1.2,1,2,3,1,0,0,0,0,0.84,1.68,2.52,0.84,2.52
203,Dilane Bakwa,fr FRA,MF,MF,Nottingham,eng Premier League,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0,0.33,0.33,0,0.33
204,Luís Balbo,ve VEN,DF,DF,Fiorentina,it Serie A,19,2006,6,1,212,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Tommaso Baldanzi,it ITA,MF,MF,Genoa,it Serie A,22,2003,8,5,399,4.4,0,2,2,0,0,0,0,0,0,0.45,0.45,0,0.45
206,Tommaso Baldanzi,it ITA,FWMF,FW,Roma,it Serie A,22,2003,10,3,386,4.3,1,0,1,1,0,0,2,0,0.23,0,0.23,0.23,0.23
207,Alejandro Balde,es ESP,DF,DF,Barcelona,es La Liga,21,2003,28,21,1869,20.8,0,2,2,0,0,0,2,0,0,0.1,0.1,0,0.1
208,Fabio Baldé,pt POR,FWMF,FW,Hamburger SV,de Bundesliga,20,2005,16,3,448,5,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4
209,Carlos Baleba,cm CMR,MF,MF,Brighton,eng Premier League,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0,0,0,0,0
210,Leonardo Balerdi,ar ARG,DF,DF,Marseille,fr Ligue 1,26,1999,26,21,2001,22.2,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04
211,Daniel Ballard,nir NIR,DF,DF,Sunderland,eng Premier League,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0,0.08,0.08,0.08
212,Carlos Ballestero,es ESP,DF,DF,Alavés,es La Liga,21,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Iván Balliu,al ALB,DF,DF,Rayo Vallecano,es La Liga,33,1992,14,6,582,6.5,0,0,0,0,0,0,2,0,0,0,0,0,0
214,Fodé Ballo-Touré,sn SEN,DFMF,DF,Metz,fr Ligue 1,28,1997,13,11,836,9.3,0,0,0,0,0,0,2,0,0,0,0,0,0
215,Folarin Balogun,us USA,FW,FW,Monaco,fr Ligue 1,24,2001,30,26,2230,24.8,13,4,17,10,3,3,4,1,0.52,0.16,0.69,0.4,0.57
216,Abdoulaye Bamba,ci CIV,DF,DF,Angers,fr Ligue 1,35,1990,6,3,255,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0
217,Aladji Bamba,fr FRA,MF,MF,Monaco,fr Ligue 1,19,2006,18,10,816,9.1,0,2,2,0,0,0,2,0,0,0.22,0.22,0,0.22
218,Mohamed Bamba,ci CIV,FW,FW,Lorient,fr Ligue 1,23,2001,18,7,682,7.6,1,2,3,1,0,1,3,0,0.13,0.26,0.4,0.13,0.4
219,Lameck Banda,zm ZAM,MFFW,MF,Lecce,it Serie A,24,2001,32,21,1752,19.5,5,4,9,5,0,0,6,1,0.26,0.21,0.46,0.26,0.46
220,Noahkai Banks,us USA,DF,DF,Augsburg,de Bundesliga,18,2006,23,20,1725,19.2,1,1,2,1,0,0,8,0,0.05,0.05,0.1,0.05,0.1
221,Ezechiel Banzuzi,nl NED,MF,MF,RB Leipzig,de Bundesliga,20,2005,24,2,597,6.6,0,1,1,0,0,0,3,0,0,0.15,0.15,0,0.15
222,Tommaso Barbieri,it ITA,MF,MF,Cremonese,it Serie A,22,2002,29,18,1707,19,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05
223,Valentín Barco,ar ARG,MF,MF,Strasbourg,fr Ligue 1,21,2004,27,24,2168,24.1,2,4,6,2,0,0,5,1,0.08,0.17,0.25,0.08,0.25
224,Bradley Barcola,fr FRA,FW,FW,PSG,fr Ligue 1,22,2002,29,21,1743,19.4,11,1,12,11,0,0,2,0,0.57,0.05,0.62,0.57,0.62
225,Melvin Bard,fr FRA,DFMF,DF,Nice,fr Ligue 1,24,2000,29,26,2394,26.6,2,1,3,2,0,0,4,0,0.08,0.04,0.11,0.08,0.11
226,Roony Bardghji,se SWE,MFFW,MF,Barcelona,es La Liga,19,2005,21,7,648,7.2,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28
227,Nicolò Barella,it ITA,MF,MF,Inter,it Serie A,28,1997,34,31,2517,28,3,8,11,3,0,0,7,0,0.11,0.29,0.39,0.11,0.39
228,Kike Barja,es ESP,MF,MF,Osasuna,es La Liga,28,1997,27,2,446,5,2,2,4,2,0,0,3,0,0.4,0.4,0.81,0.4,0.81
229,Ross Barkley,eng ENG,MF,MF,Aston Villa,eng Premier League,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42
230,Ashley Barnes,eng ENG,FWMF,FW,Burnley,eng Premier League,35,1989,7,0,46,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0
231,Harvey Barnes,eng ENG,FWMF,FW,Newcastle,eng Premier League,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37
232,Ander Barrenetxea,es ESP,MF,MF,Real Sociedad,es La Liga,23,2001,30,22,1763,19.6,3,5,8,3,0,0,5,0,0.15,0.26,0.41,0.15,0.41
233,Pablo Barrios,es ESP,MF,MF,Atlético Madrid,es La Liga,22,2003,23,20,1661,18.5,1,1,2,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11
234,Thierno Barry,fr FRA,FW,FW,Everton,eng Premier League,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0,0.38,0.38,0.38
235,Davide Bartesaghi,it ITA,MFDF,MF,Milan,it Serie A,19,2005,31,27,2441,27.1,2,0,2,2,0,0,3,0,0.07,0,0.07,0.07,0.07
236,Marc Bartra,es ESP,DF,DF,Real Betis,es La Liga,34,1991,25,21,1978,22,1,0,1,1,0,0,3,0,0.05,0,0.05,0.05,0.05
237,Federico Baschirotto,it ITA,DF,DF,Cremonese,it Serie A,28,1996,29,29,2540,28.2,2,0,2,2,0,0,2,0,0.07,0,0.07,0.07,0.07
238,Toma Bašić,hr CRO,MF,MF,Lazio,it Serie A,28,1996,23,23,1735,19.3,2,3,5,2,0,0,0,1,0.1,0.16,0.26,0.1,0.26
239,Calvin Bassey,ng NGA,DF,DF,Fulham,eng Premier League,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04
240,Alessandro Bastoni,it ITA,DF,DF,Inter,it Serie A,26,1999,28,28,2239,24.9,1,4,5,1,0,0,6,0,0.04,0.16,0.2,0.04,0.2
241,Augusto Batalla,ar ARG,GK,GK,Rayo Vallecano,es La Liga,29,1996,34,34,3060,34,0,0,0,0,0,0,6,0,0,0,0,0,0
242,Michy Batshuayi,be BEL,FW,FW,Frankfurt,de Bundesliga,31,1993,6,1,139,1.5,1,0,1,0,1,1,0,0,0.65,0,0.65,0,0
243,Martin Baturina,hr CRO,MFFW,MF,Como,it Serie A,22,2003,29,17,1569,17.4,6,3,9,6,0,0,0,0,0.34,0.17,0.52,0.34,0.52
244,Daniel Batz,de GER,GK,GK,Mainz 05,de Bundesliga,34,1991,21,21,1890,21,0,0,0,0,0,0,2,0,0,0,0,0,0
245,Elias Baum,de GER,DF,DF,Frankfurt,de Bundesliga,19,2005,5,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Oliver Baumann,de GER,GK,GK,Hoffenheim,de Bundesliga,35,1990,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0,0,0
247,Christoph Baumgartner,at AUT,MF,MF,RB Leipzig,de Bundesliga,25,1999,33,32,2780,30.9,13,8,21,13,0,1,10,0,0.42,0.26,0.68,0.42,0.68
248,Altay Bayındır,tr TUR,GK,GK,Manchester Utd,eng Premier League,27,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Vakoun Bayo,ci CIV,FW,FW,Udinese,it Serie A,28,1997,15,4,453,5,0,2,2,0,0,0,0,0,0,0.4,0.4,0,0.4
