Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
486,Fabio Carvalho,pt POR,MF,MF,Brentford,eng Premier League,22,2002,1.1,0,0,0,0,0,0,5,0,2,0
487,Cesare Casadei,it ITA,MF,MF,Torino,it Serie A,22,2003,22.2,5,0,0,52,16,2,4,9,16,0
488,Marc Casado,es ESP,MF,MF,Barcelona,es La Liga,21,2003,11,1,0,0,25,20,0,1,7,9,0
489,Nicolò Casale,it ITA,DF,DF,Bologna,it Serie A,27,1998,7.5,0,0,0,15,5,0,2,7,2,0
490,Casemiro,br BRA,MF,MF,Manchester Utd,eng Premier League,33,1992,28.6,11,1,1,46,36,5,19,30,45,0
491,Matty Cash,pl POL,DF,DF,Aston Villa,eng Premier League,27,1997,33.5,9,0,0,42,30,4,131,24,32,0
492,Josué Casimir,ht HAI,MFFW,MF,Auxerre,fr Ligue 1,23,2001,16.9,6,1,1,34,32,3,54,11,17,0
493,Cristian Cásseres Jr.,ve VEN,MF,MF,Toulouse,fr Ligue 1,25,2000,27.7,6,0,0,39,42,1,98,37,42,0
494,Timothy Castagne,be BEL,DFMF,DF,Fulham,eng Premier League,29,1995,20.5,4,0,0,18,11,1,48,28,24,0
495,Lluc Castell,es ESP,FW,FW,Espanyol,es La Liga,18,2006,0.2,0,0,0,1,1,0,0,0,0,0
496,Valentín Castellanos,ar ARG,FW,FW,Lazio,it Serie A,26,1998,7.7,2,0,0,9,18,5,6,3,3,0
497,Valentín Castellanos,ar ARG,FW,FW,West Ham,eng Premier League,26,1998,15.4,6,0,0,32,16,9,9,6,9,0
498,Castrin,es ESP,DF,DF,Sevilla,es La Liga,22,2003,14.2,4,0,0,13,13,1,1,22,15,0
499,Jonny Castro,es ESP,DF,DF,Alavés,es La Liga,31,1994,33.3,7,0,0,37,30,1,23,40,41,0
500,Santiago Castro,ar ARG,FW,FW,Bologna,it Serie A,20,2004,26.2,3,0,0,35,50,12,4,1,8,0
501,Alessio Castro-Montes,be BEL,MFDF,MF,Köln,de Bundesliga,28,1997,7.5,2,0,0,13,10,2,57,5,17,0
